,SCA,SCA Types,GCA,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Arsenal,24,29.0,507,17.48,386,30,24,28,27,12,44,1.52,28,4,1,3,6,2
vs Aston Villa,28,29.0,616,21.24,466,39,35,39,23,14,75,2.59,57,3,4,4,4,3
vs Bournemouth,28,29.0,712,24.55,523,67,44,33,32,13,65,2.24,46,4,7,3,5,0
vs Brentford,27,29.0,896,30.90,714,49,45,54,21,13,72,2.48,63,0,2,5,1,1
vs Brighton,30,29.0,567,19.55,407,56,39,34,23,8,65,2.24,40,3,6,8,7,1
vs Chelsea,29,29.0,552,19.03,403,41,32,28,34,14,62,2.14,39,3,9,4,5,2
vs Crystal Palace,27,28.0,632,22.57,454,60,34,56,17,11,54,1.93,36,2,4,7,2,3
vs Everton,26,29.0,642,22.14,478,59,31,41,24,9,59,2.03,46,2,3,5,1,2
vs Fulham,26,29.0,557,19.21,381,56,43,27,42,8,63,2.17,48,4,4,3,3,1
vs Ipswich Town,32,29.0,771,26.59,590,49,49,49,22,12,108,3.72,80,4,7,10,6,1
vs Leicester City,28,29.0,841,29.00,618,68,48,60,32,15,110,3.79,88,6,5,8,3,0
vs Liverpool,24,29.0,486,16.76,364,35,29,24,30,4,46,1.59,33,5,3,2,3,0
vs Manchester City,27,29.0,510,17.59,394,45,22,22,16,11,72,2.48,57,4,5,1,4,1
vs Manchester Utd,29,29.0,587,20.24,411,49,47,44,28,8,67,2.31,48,6,3,6,3,1
vs Newcastle Utd,24,28.0,646,23.07,479,48,41,40,25,13,64,2.29,50,5,3,1,3,2
vs Nott'ham Forest,23,29.0,696,24.00,516,64,50,39,21,6,62,2.14,46,2,6,6,2,0
vs Southampton,34,29.0,917,31.62,658,63,56,70,38,32,114,3.93,71,12,8,12,6,5
vs Tottenham,31,29.0,672,23.17,500,50,43,50,20,9,75,2.59,55,5,4,7,2,2
vs West Ham,27,29.0,833,28.72,658,56,22,50,32,15,79,2.72,57,4,6,5,5,2
vs Wolves,28,29.0,673,23.21,475,74,37,41,36,10,98,3.38,66,10,5,7,9,1
