,Standard,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Arsenal,24,29.0,24,280,93,33.2,9.66,3.21,0.08,0.24,18.4,10,2,2,24.7,23.2,0.08,-0.7,-1.2
vs Aston Villa,28,29.0,45,350,118,33.7,12.07,4.07,0.13,0.37,16.5,7,1,2,40.0,38.5,0.11,+5.0,+5.5
vs Bournemouth,28,29.0,36,388,138,35.6,13.38,4.76,0.08,0.23,17.0,10,4,4,38.7,35.6,0.09,-2.7,-3.6
vs Brentford,27,29.0,42,505,164,32.5,17.41,5.66,0.08,0.25,17.3,10,1,1,45.2,44.4,0.09,-3.2,-3.4
vs Brighton,30,29.0,40,316,99,31.3,10.90,3.41,0.10,0.33,15.7,4,7,7,41.0,35.6,0.12,-1.0,-2.6
vs Chelsea,29,29.0,37,310,126,40.6,10.69,4.34,0.10,0.25,17.5,17,5,6,39.5,34.7,0.11,-2.5,-2.7
vs Crystal Palace,27,28.0,31,354,107,30.2,12.64,3.82,0.08,0.28,16.4,6,1,2,35.4,33.8,0.10,-4.4,-3.8
vs Everton,26,29.0,36,362,117,32.3,12.48,4.03,0.10,0.31,16.4,12,0,2,35.6,34.0,0.10,+0.4,+2.0
vs Fulham,26,29.0,36,316,114,36.1,10.90,3.93,0.11,0.30,16.7,15,2,2,33.0,31.5,0.10,+3.0,+2.5
vs Ipswich Town,32,29.0,61,431,156,36.2,14.86,5.38,0.13,0.36,16.4,13,5,5,57.4,53.5,0.13,+3.6,+2.5
vs Leicester City,28,29.0,62,475,162,34.1,16.38,5.59,0.13,0.38,15.9,13,1,2,53.4,51.8,0.11,+8.6,+9.2
vs Liverpool,24,29.0,27,280,95,33.9,9.66,3.28,0.10,0.28,18.0,11,0,1,25.1,24.2,0.09,+1.9,+2.8
vs Manchester City,27,29.0,38,285,110,38.6,9.83,3.79,0.12,0.32,15.3,3,3,3,39.4,37.0,0.13,-1.4,-2.0
vs Manchester Utd,29,29.0,39,331,115,34.7,11.41,3.97,0.11,0.31,16.5,10,3,4,44.3,41.2,0.13,-5.3,-5.2
vs Newcastle Utd,24,28.0,37,366,124,33.9,13.07,4.43,0.10,0.30,16.7,6,0,0,35.4,35.4,0.10,+1.6,+1.6
vs Nott'ham Forest,23,29.0,35,391,121,30.9,13.48,4.17,0.08,0.27,17.2,10,2,2,34.0,32.4,0.08,+1.0,+0.6
vs Southampton,34,29.0,70,514,190,37.0,17.72,6.55,0.12,0.34,16.2,12,6,6,67.6,63.1,0.13,+2.4,+0.9
vs Tottenham,31,29.0,41,380,129,33.9,13.10,4.45,0.10,0.30,15.4,6,2,2,48.4,46.8,0.13,-7.4,-7.8
vs West Ham,27,29.0,46,463,142,30.7,15.97,4.90,0.09,0.30,16.7,14,3,3,47.2,44.9,0.10,-1.2,-1.9
vs Wolves,28,29.0,55,376,129,34.3,12.97,4.45,0.13,0.38,16.4,12,6,7,46.2,40.7,0.11,+8.8,+8.3
