,Goals,Expected,Launched,Passes,Goal Kicks,Crosses,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,1,29.0,24,2,2,4,0,25.0,0.25,+1.0,+0.04,120,368,32.6,907,128,32.2,30.2,150,50.7,39.1,307,40,13.0,49,1.69,16.6
Aston Villa,2,29.0,45,1,1,2,0,43.5,0.35,-1.5,-0.05,127,311,40.8,887,96,26.5,29.4,209,36.4,32.1,395,43,10.9,28,0.97,14.5
Bournemouth,3,29.0,36,4,1,4,0,45.4,0.30,+9.4,+0.32,146,379,38.5,698,115,39.1,34.3,213,49.8,40.2,364,16,4.4,46,1.59,16.2
Brentford,2,29.0,45,1,0,2,3,43.7,0.26,+1.7,+0.06,191,512,37.3,1132,103,35.9,34.0,253,41.9,35.7,471,39,8.3,27,0.93,11.4
Brighton,2,29.0,42,7,1,4,2,36.6,0.30,-3.4,-0.12,100,309,32.4,932,102,28.0,25.1,186,25.8,24.6,348,25,7.2,42,1.45,15.4
Chelsea,2,29.0,37,5,0,4,0,37.8,0.25,+0.8,+0.03,75,308,24.4,937,157,30.4,31.8,159,14.5,18.5,293,32,10.9,48,1.66,15.1
Crystal Palace,1,28.0,33,1,0,2,2,34.9,0.32,+3.9,+0.14,112,440,25.5,678,86,48.2,38.5,225,50.2,41.5,409,20,4.9,32,1.14,14.6
Everton,1,29.0,36,0,1,6,0,37.3,0.31,+1.3,+0.04,245,631,38.8,993,129,51.8,40.1,214,54.7,43.7,426,23,5.4,53,1.83,16.0
Fulham,1,29.0,38,2,0,4,2,33.4,0.28,-2.6,-0.09,96,278,34.5,892,114,24.0,28.8,201,31.8,29.3,381,19,5.0,24,0.83,13.0
Ipswich Town,3,29.0,62,5,0,5,1,57.3,0.33,-3.7,-0.13,132,391,33.8,769,140,35.2,35.2,226,53.1,40.8,426,55,12.9,28,0.97,7.6
Leicester City,3,29.0,65,1,0,3,3,59.2,0.36,-2.8,-0.10,143,494,28.9,880,138,44.2,32.0,237,44.3,33.8,475,25,5.3,29,1.00,20.7
Liverpool,3,29.0,27,0,0,1,0,28.1,0.29,+1.1,+0.04,82,239,34.3,771,125,26.1,26.5,176,21.6,24.6,287,11,3.8,47,1.62,15.8
Manchester City,2,29.0,40,3,1,3,2,39.8,0.34,+1.8,+0.06,99,222,44.6,937,119,20.4,28.0,145,21.4,24.7,272,13,4.8,48,1.66,17.5
Manchester Utd,1,29.0,40,3,0,10,1,40.5,0.32,+1.5,+0.05,98,380,25.8,952,117,31.2,30.1,183,45.4,35.1,356,20,5.6,20,0.69,11.7
Newcastle Utd,2,28.0,38,0,0,4,1,37.7,0.31,+0.7,+0.02,65,263,24.7,655,172,23.1,25.2,198,56.6,43.8,378,35,9.3,47,1.68,15.3
Nott'ham Forest,1,29.0,35,2,1,4,0,36.5,0.29,+1.5,+0.05,199,554,35.9,506,63,77.1,45.8,248,66.1,47.2,521,17,3.3,6,0.21,7.8
Southampton,3,29.0,70,6,0,11,0,66.5,0.32,-3.5,-0.12,173,515,33.6,959,136,43.0,30.0,225,45.8,36.9,398,27,6.8,22,0.76,18.0
Tottenham,4,29.0,43,2,0,3,2,46.8,0.35,+5.8,+0.20,40,124,32.3,782,141,14.6,27.2,211,4.7,15.3,390,34,8.7,32,1.10,11.1
West Ham,2,29.0,49,3,1,6,3,45.1,0.30,-0.9,-0.03,176,479,36.7,880,130,37.7,35.4,252,58.3,43.1,464,19,4.1,27,0.93,13.7
Wolves,2,29.0,58,6,1,10,3,48.2,0.32,-6.8,-0.23,121,421,28.7,788,117,43.3,36.6,191,41.9,34.9,453,34,7.5,47,1.62,13.4
