,Total,Short,Medium,Long,,Expected,
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Arsenal,24,29.0,9582,11968,80.1,166666,55400,4465,5000,89.3,4099,4703,87.2,824,1748,47.1,17,17.1,17.2,-0.1,202,714,144,50,738
vs Aston Villa,28,29.0,10878,13121,82.9,185889,63494,5293,5768,91.8,4346,4952,87.8,965,1723,56.0,32,29.2,28.2,+2.8,249,866,210,54,965
vs Bournemouth,28,29.0,11078,14167,78.2,189376,75290,5319,6071,87.6,4535,5378,84.3,942,1952,48.3,26,28.6,28.4,-2.6,302,786,256,51,1014
vs Brentford,27,29.0,11637,14470,80.4,198190,69783,5677,6315,89.9,4750,5508,86.2,983,1997,49.2,32,34.7,34.4,-2.7,391,1014,348,70,1237
vs Brighton,30,29.0,10975,13642,80.5,194370,68000,4833,5406,89.4,5049,5681,88.9,914,1891,48.3,25,30.9,22.9,-5.9,252,781,185,35,939
vs Chelsea,29,29.0,9704,12157,79.8,166829,61224,4615,5176,89.2,4106,4684,87.7,787,1697,46.4,27,29.0,21.4,-2.0,224,688,189,43,884
vs Crystal Palace,27,28.0,12309,15274,80.6,218545,76137,5362,6135,87.4,5557,6350,87.5,1140,2035,56.0,24,27.3,25.5,-3.3,277,955,214,48,1126
vs Everton,26,29.0,13822,16695,82.8,234520,78709,6500,7181,90.5,5995,6802,88.1,1029,1982,51.9,28,27.0,27.6,+1.0,274,1015,263,64,1237
vs Fulham,26,29.0,11301,13869,81.5,190707,66089,5425,6009,90.3,4661,5361,86.9,894,1767,50.6,29,24.7,21.9,+4.3,223,867,202,47,1038
vs Ipswich Town,32,29.0,13947,16668,83.7,237119,73937,6575,7243,90.8,6086,6819,89.3,1015,1944,52.2,39,41.8,36.0,-2.8,324,1086,281,60,1231
vs Leicester City,28,29.0,13309,16055,82.9,229939,76612,6249,6971,89.6,5750,6524,88.1,1098,1868,58.8,48,40.6,38.5,+7.4,369,1100,327,78,1370
vs Liverpool,24,29.0,9915,12469,79.5,169807,61940,4752,5341,89.0,4079,4740,86.1,840,1685,49.9,21,19.1,17.7,+1.9,206,661,166,43,877
vs Manchester City,27,29.0,9876,11991,82.4,170902,59500,4703,5157,91.2,4078,4574,89.2,881,1685,52.3,30,31.8,24.5,-1.8,236,630,194,56,713
vs Manchester Utd,29,29.0,11243,13898,80.9,187654,64675,5428,6097,89.0,4640,5337,86.9,852,1711,49.8,26,31.1,25.4,-5.1,252,847,196,47,945
vs Newcastle Utd,24,28.0,10935,13543,80.7,186078,63726,5418,5967,90.8,4378,5035,87.0,904,1850,48.9,34,28.5,25.6,+5.5,282,894,214,48,1012
vs Nott'ham Forest,23,29.0,13414,16185,82.9,227040,75157,6197,6904,89.8,5999,6813,88.1,943,1771,53.2,27,24.1,26.0,+2.9,296,1185,293,62,1521
vs Southampton,34,29.0,12185,14568,83.6,204126,69614,5834,6450,90.4,5163,5780,89.3,894,1674,53.4,49,50.2,37.9,-1.2,397,965,312,60,1173
vs Tottenham,31,29.0,9566,12180,78.5,170360,63455,4466,5069,88.1,3839,4463,86.0,1017,1938,52.5,29,35.3,27.1,-6.3,280,776,252,78,975
vs West Ham,27,29.0,12431,15249,81.5,215063,72614,5835,6571,88.8,5288,6087,86.9,1076,1960,54.9,36,38.1,34.7,-2.1,370,1107,318,83,1300
vs Wolves,28,29.0,11975,14651,81.7,206648,71359,5558,6199,89.7,5256,5995,87.7,945,1783,53.0,39,33.1,28.7,+5.9,293,980,254,54,1189
