,Playing Time,Performance,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,1,29,29,"2,610",29.0,24,0.83,95,71,76.8,16,10,3,11,37.9,2,2,0,0,0.0
Aston Villa,2,29,29,"2,610",29.0,45,1.55,120,74,63.3,12,9,8,4,13.8,2,1,1,0,50.0
Bournemouth,3,29,29,"2,610",29.0,36,1.24,142,106,77.5,12,8,9,6,20.7,4,4,0,0,0.0
Brentford,2,29,29,"2,610",29.0,45,1.55,165,123,73.3,12,5,12,5,17.2,1,1,0,0,0.0
Brighton,2,29,29,"2,610",29.0,42,1.45,106,66,67.0,12,11,6,7,24.1,7,7,0,0,0.0
Chelsea,2,29,29,"2,610",29.0,37,1.28,132,94,75.8,14,7,8,6,20.7,6,5,1,0,16.7
Crystal Palace,1,28,28,"2,520",28.0,33,1.18,109,77,70.6,10,9,9,9,32.1,2,1,1,0,50.0
Everton,1,29,29,"2,610",29.0,36,1.24,119,81,69.7,7,13,9,9,31.0,2,0,2,0,100.0
Fulham,1,29,29,"2,610",29.0,38,1.31,116,80,69.0,12,9,8,5,17.2,2,2,0,0,0.0
Ipswich Town,3,29,29,"2,610",29.0,62,2.14,161,100,64.6,3,8,18,2,6.9,5,5,0,0,0.0
Leicester City,3,29,29,"2,610",29.0,65,2.24,164,101,61.0,4,5,20,1,3.4,2,1,1,0,50.0
Liverpool,3,29,29,"2,610",29.0,27,0.93,96,68,71.9,21,7,1,12,41.4,1,0,1,0,100.0
Manchester City,2,29,29,"2,610",29.0,40,1.38,113,75,67.3,14,6,9,7,24.1,3,3,0,0,0.0
Manchester Utd,1,29,29,"2,610",29.0,40,1.38,119,79,68.9,10,7,12,8,27.6,4,3,1,0,25.0
Newcastle Utd,2,28,28,"2,520",28.0,38,1.36,124,87,69.4,14,5,9,9,32.1,0,0,0,0,
Nott'ham Forest,1,29,29,"2,610",29.0,35,1.21,123,88,73.2,16,6,7,12,41.4,2,2,0,0,0.0
Southampton,3,29,29,"2,610",29.0,70,2.41,196,126,67.3,2,3,24,2,6.9,6,6,0,0,0.0
Tottenham,4,29,29,"2,610",29.0,43,1.48,131,90,68.7,10,4,15,6,20.7,2,2,0,0,0.0
West Ham,2,29,29,"2,610",29.0,49,1.69,145,99,68.3,9,7,13,6,20.7,3,3,0,0,0.0
Wolves,2,29,29,"2,610",29.0,58,2.00,136,80,61.8,7,5,17,5,17.2,7,6,1,0,14.3
