,Pass Types,Corner Kicks,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Arsenal,24,29.0,15194,13932,1198,333,55,61,606,473,189,172,3,2,12714,64,211
Aston Villa,28,29.0,13873,12513,1312,448,67,40,472,394,187,124,19,1,11488,48,276
Bournemouth,28,29.0,12561,11214,1290,312,46,58,624,522,178,133,14,3,9560,57,239
Brentford,27,29.0,13369,12111,1201,294,50,55,523,449,131,101,2,0,10486,57,225
Brighton,30,29.0,14480,13201,1246,391,58,60,504,455,143,84,34,4,11918,33,233
Chelsea,29,29.0,16717,15424,1246,399,69,75,477,449,173,104,22,3,14239,47,228
Crystal Palace,27,28.0,11924,10668,1203,333,52,44,455,451,133,81,18,0,8976,53,228
Everton,26,29.0,11445,10117,1262,322,24,61,516,540,121,73,24,10,8672,66,242
Fulham,26,29.0,15410,14088,1289,356,37,95,675,509,156,61,73,0,12645,33,266
Ipswich Town,32,29.0,11625,10395,1188,324,38,46,395,429,118,89,14,1,9096,42,236
Leicester City,28,29.0,13572,12225,1299,340,47,36,499,523,105,67,19,3,10813,48,246
Liverpool,24,29.0,16539,15228,1269,339,51,106,534,515,183,113,41,1,13931,42,251
Manchester City,27,29.0,18412,17163,1214,340,65,66,505,460,201,95,28,4,16220,35,275
Manchester Utd,29,29.0,15444,14188,1201,314,65,84,446,491,144,80,28,9,12712,55,268
Newcastle Utd,24,28.0,13850,12477,1316,375,65,67,495,521,156,101,13,5,11269,57,255
Nott'ham Forest,23,29.0,10742,9452,1223,337,41,42,451,450,124,61,55,0,8056,67,222
Southampton,34,29.0,14753,13513,1201,370,38,43,436,384,124,82,25,0,12410,39,212
Tottenham,31,29.0,15959,14450,1465,440,48,55,593,532,210,93,49,0,13291,44,351
West Ham,27,29.0,13544,12256,1233,328,44,105,473,449,126,68,47,1,10816,55,260
Wolves,28,29.0,13407,12097,1257,375,48,95,425,502,102,65,26,2,10770,53,247
