,Touches,Take-Ons,Carries,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Arsenal,24,44.2,29.0,15061,2244,5849,5880,3510,472,15059,466,200,42.9,196,42.1,8124,45128,23744,491,332,125,343,271,9492,730
vs Aston Villa,28,48.6,29.0,16383,1808,5183,7303,4051,668,16381,474,186,39.2,229,48.3,9133,48802,25157,501,342,158,373,259,10759,947
vs Bournemouth,28,53.0,29.0,17769,2191,6404,7285,4271,736,17765,569,266,46.7,242,42.5,9439,50859,24721,533,358,162,505,322,10945,1003
vs Brentford,27,51.8,29.0,17814,1991,5395,6949,5614,954,17813,489,205,41.9,239,48.9,9872,52276,28107,656,464,239,373,240,11506,1225
vs Brighton,30,48.2,29.0,16971,2213,6676,7105,3349,666,16964,612,289,47.2,257,42.0,9325,48691,23786,459,256,182,385,269,10873,928
vs Chelsea,29,41.9,29.0,15211,2197,6034,6193,3172,584,15205,504,213,42.3,216,42.9,8324,45563,22732,458,288,132,333,233,9603,875
vs Crystal Palace,27,56.1,28.0,18497,1856,5737,8420,4511,683,18495,581,252,43.4,262,45.1,10005,53734,27721,497,341,141,433,346,12173,1116
vs Everton,26,59.2,29.0,19972,1830,6493,8852,4795,716,19970,551,235,42.6,264,47.9,11875,61151,32220,539,409,144,418,323,13694,1228
vs Fulham,26,47.3,29.0,17151,1966,5630,7709,3985,592,17149,503,213,42.3,224,44.5,9441,51929,26424,461,348,119,434,294,11205,1027
vs Ipswich Town,32,58.6,29.0,19717,1777,6078,8406,5403,845,19712,550,266,48.4,225,40.9,11978,61536,30706,610,429,220,373,245,13821,1214
vs Leicester City,28,54.1,29.0,19356,1688,5530,8554,5455,920,19354,604,279,46.2,254,42.1,10981,56755,28766,550,382,189,394,320,13192,1353
vs Liverpool,24,42.9,29.0,15814,2393,6139,6311,3546,559,15813,594,253,42.6,275,46.3,8285,48535,25308,510,317,176,421,231,9823,861
vs Manchester City,27,39.3,29.0,15037,2380,6381,5756,3039,551,15034,410,179,43.7,171,41.7,8509,43975,21706,446,272,136,353,214,9792,706
vs Manchester Utd,29,47.3,29.0,17209,1895,5438,7737,4210,637,17204,581,245,42.2,294,50.6,9649,50855,25911,526,412,148,360,326,11133,938
vs Newcastle Utd,24,49.7,28.0,16804,1916,5270,7253,4456,681,16804,527,218,41.4,238,45.2,9511,50206,25867,520,376,172,390,218,10835,1003
vs Nott'ham Forest,23,60.0,29.0,19369,1586,5292,8699,5551,815,19367,572,251,43.9,250,43.7,11321,67266,38687,769,495,201,440,281,13170,1504
vs Southampton,34,49.6,29.0,17687,1686,5198,7476,5198,963,17681,518,246,47.5,214,41.3,10125,52728,27557,612,389,241,332,290,12065,1167
vs Tottenham,31,43.2,29.0,15698,2047,5658,6114,4111,750,15696,546,232,42.5,247,45.2,8627,45652,22142,503,311,178,374,285,9500,966
vs West Ham,27,53.0,29.0,18534,1894,5647,7915,5143,865,18531,463,197,42.5,206,44.5,10802,58482,31271,656,391,186,393,287,12317,1292
vs Wolves,28,52.2,29.0,17924,1731,5265,7881,4957,800,17917,618,244,39.5,281,45.5,9864,54213,28485,608,391,191,409,332,11870,1182
